date,all,average
2017-08,,
2017-09,30,10000
2017-10,42,4503
2017-11,120,7033
2017-12,,
2018-01,,
2018-02,30,5701
2018-03,,
2018-04,,
2018-05,,
2018-06,864,6304
2018-07,1434,5585
2018-08,660,4790
2018-09,258,4155
2018-10,1014,4716
2018-11,906,5006
2018-12,1133,5234
2019-01,564,5623
2019-02,84,6009
2019-03,240,5155
2019-04,774,4532
2019-05,840,4337
2019-06,810,4331
2019-07,2112,4076
2019-08,3510,3885
2019-09,3832,3739
2019-10,3468,3864
2019-11,1277,3945
2019-12,630,3892
2020-01,300,4028
2020-02,,
2020-03,600,4635
2020-04,684,4772
2020-05,3186,4558
2020-06,3752,4572
2020-07,3132,4743
2020-08,1908,4672
2020-09,822,4743
2020-10,906,6617
2020-11,1110,7869
2020-12,1902,7922
2021-01,1776,6886
2021-02,3322,6488
2021-03,7008,5293
2021-04,2112,5319
2021-05,1920,4794
2021-06,4392,4399
2021-07,2880,4166
2021-08,3447,3883
2021-09,1949,3791
2021-10,3246,3671
2021-11,2928,3523
2021-12,3432,3707
2022-01-01,3468,3794
2022-02-01,3696,4076
2022-03-01,7056,4306
2022-04-01,5802,4286
2022-05-01,4938,4474